Date,Open,High,Low,Close,Volume
28-Oct-16,130.50,132.97,129.93,131.29,24545547
27-Oct-16,131.74,131.80,129.27,129.69,16741393
26-Oct-16,131.64,132.26,130.94,131.04,13084731
25-Oct-16,133.50,133.50,132.22,132.29,13336787
24-Oct-16,132.72,133.40,132.15,133.28,17470227
21-Oct-16,129.78,132.13,129.70,132.07,19088794
20-Oct-16,130.07,130.66,129.50,130.00,13167503
19-Oct-16,128.74,130.47,128.60,130.11,16752321
18-Oct-16,128.68,129.39,128.01,128.57,13503967
17-Oct-16,128.20,128.47,127.32,127.54,11351681
14-Oct-16,128.49,128.95,127.58,127.88,13345292
13-Oct-16,128.21,128.25,126.75,127.82,17139306
12-Oct-16,129.01,129.66,128.46,129.05,11072991
11-Oct-16,130.23,130.64,128.23,128.88,17537928
10-Oct-16,129.68,130.70,129.20,130.24,15138720
7-Oct-16,129.04,129.25,128.33,128.99,12804420
6-Oct-16,128.43,129.06,128.08,128.74,11682729
5-Oct-16,128.25,128.80,127.83,128.47,12386753
4-Oct-16,129.17,129.28,127.55,128.19,14307548
3-Oct-16,128.38,129.09,127.80,128.77,13156943
